R,algorithm,date,iteration,seed,size,β,γ
25,fastSD,20211123112332_261,133,16376630122614840,60,1.5,0.04
25,fastSD,20211123112333_161,122189,16376630128923860,60,1.5,0.04
25,fastSD,20211123112334_642,135527,16376630143733280,60,1.5,0.04
25,fastSD,20211123112334_917,127152,16376630146635980,60,1.5,0.04
25,fastSD,20211123112335_189,123202,16376630149187810,60,1.5,0.04
25,fastSD,20211123112335_467,121374,16376630152074980,60,1.5,0.04
25,fastSD,20211123112335_733,124668,16376630154686980,60,1.5,0.04
25,fastSD,20211123112340_111,28192,16376630200413970,60,1.5,0.04
25,fastSD,20211123112345_347,52352,16376630252377880,60,1.5,0.04
25,fastSD,20211123112346_17,70270,16376630260277482,60,1.5,0.04
25,fastSD,20211123112347_865,135256,16376630275894980,60,1.5,0.04
25,fastSD,20211123112347_878,7462,16376630278666320,60,1.5,0.04
25,fastSD,20211123112356_283,25765,16376630362385370,60,1.5,0.04
25,fastSD,20211123112402_506,92466,16376630423039940,60,1.5,0.04
25,fastSD,20211123112406_216,122744,16376630459679090,60,1.5,0.04
25,fastSD,20211123112413_078,124793,16376630528105960,60,1.5,0.04
25,fastSD,20211123112420_694,45544,16376630605916030,60,1.5,0.04
25,fastSD,20211123112421_816,26983,16376630617473360,60,1.5,0.04
25,fastSD,20211123112422_889,48205,16376630627972590,60,1.5,0.04
25,fastSD,20211123112427_077,215215,16376630666468360,60,1.5,0.04
25,fastSD,20211123112427_33,124657,16376630670789330,60,1.5,0.04
25,fastSD,20211123112427_447,18297,16376630673983640,60,1.5,0.04
25,fastSD,20211123112429_779,129452,16376630695366810,60,1.5,0.04
25,fastSD,20211123112435_431,48625,16376630753039538,60,1.5,0.04
25,fastSD,20211123112440_801,149659,16376630804816460,60,1.5,0.04
25,fastSD,20211123112441_75,13127,16376630817286580,60,1.5,0.04
25,fastSD,20211123112442_035,125079,16376630817573330,60,1.5,0.04
25,fastSD,20211123112443_074,82201,16376630828841950,60,1.5,0.04
25,fastSD,20211123113513_204,1121370,16376637107646598,80,1.5,0.04
25,fastSD,20211123113516_876,288795,16376637162540850,80,1.5,0.04
25,fastSD,20211123113517_593,325163,16376637168775020,80,1.5,0.04
25,fastSD,20211123113517_785,90420,16376637175939980,80,1.5,0.04
25,fastSD,20211123113518_399,291580,16376637177861590,80,1.5,0.04
25,fastSD,20211123113518_986,191677,16376637185760860,80,1.5,0.04
25,fastSD,20211123113521_594,297298,16376637209655250,80,1.5,0.04
25,fastSD,20211123113522_203,287298,16376637215954650,80,1.5,0.04
25,fastSD,20211123113530_476,286949,16376637298543220,80,1.5,0.04
25,fastSD,20211123113716_78,1087486,16376638343756840,80,1.5,0.04
25,fastSD,20211123113718_225,371054,16376638374448130,80,1.5,0.04
25,fastSD,20211123114006_539,90147,16376640063334090,80,1.5,0.04
25,fastSD,20211123114007_313,340539,16376640065403610,80,1.5,0.04
25,fastSD,20211123114007_951,293872,16376640073142518,80,1.5,0.04
25,fastSD,20211123114012_585,1229046,16376640099205192,80,1.5,0.04
25,fastSD,20211123114120_798,2756847,16376640748001512,80,1.5,0.04
25,fastSD,20211123114205_635,302629,16376641249895812,80,1.5,0.04
25,fastSD,20211123114208_337,1247139,16376641256363360,80,1.5,0.04
25,fastSD,20211123114210_416,263164,16376641298602778,80,1.5,0.04
25,fastSD,20211123115532_023,2733025,16376649259431600,80,1.5,0.04
25,fastSD,20211123115538_083,413297,16376649371454830,80,1.5,0.04
25,fastSD,20211123120009_166,64438,16376652090320870,80,1.5,0.04
25,fastSD,20211123120010_114,420356,16376652091686390,80,1.5,0.04
25,fastSD,20211123121010_752,74399,16376658103845060,80,1.5,0.04
25,fastSD,20211123121016_348,291534,16376658156769460,80,1.5,0.04
25,fastSD,20211123121029_961,694857,16376658278805520,80,1.5,0.04
25,fastSD,20211123121033_536,170183,16376658331721280,80,1.5,0.04
25,fastSD,20211123121035_565,176034,16376658351814940,80,1.5,0.04
25,fastSD,20211123121038_582,290086,16376658378859280,80,1.5,0.04
25,fastSD,20211123121038_751,76154,16376658385835270,80,1.5,0.04
25,fastSD,20211123121039_376,287278,16376658387525670,80,1.5,0.04
25,fastSD,20211123121041_957,301590,16376658413072390,80,1.5,0.04
25,fastSD,20211123121533_879,272525,16376661333260510,80,1.5,0.04
25,fastSD,20211123122107_565,354793,16376664666990420,80,1.5,0.04
25,fastSD,20211123122107_896,149940,16376664675664970,80,1.5,0.04
25,fastSD,20211123122113_739,326510,16376664729147480,80,1.5,0.04
25,fastSD,20211123122313_805,305994,16376665931114220,80,1.5,0.04
25,fastSD,20211123122324_579,3229165,16376665973193690,80,1.5,0.04
25,fastSD,20211123122339_304,236286,16376666187395720,80,1.5,0.04
25,fastSD,20211123122340_244,416551,16376666193052430,80,1.5,0.04
25,fastSD,20211123122342_83,286833,16376666222008460,80,1.5,0.04
25,fastSD,20211123122343_59,351783,16376666228315850,80,1.5,0.04
25,fastSD,20211123122344_16,266703,16376666235912230,80,1.5,0.04
25,fastSD,20211123122344_491,161629,16376666241612288,80,1.5,0.04
25,fastSD,20211123122421_338,288675,16376666607335990,80,1.5,0.04
25,fastSD,20211123122428_782,3368454,16376666613408150,80,1.5,0.04
25,fastSD,20211123122750_514,289347,16376668699197010,80,1.5,0.04
25,fastSD,20211123122752_102,645014,16376668708310260,80,1.5,0.04
25,fastSD,20211123123642_804,291000,16376674021244530,80,1.5,0.04
25,fastSD,20211123123643_434,291737,16376674028075600,80,1.5,0.04
25,fastSD,20211123123658_848,29637,16376674187996180,80,1.5,0.04
25,fastSD,20211123123702_015,12172,16376674219921840,80,1.5,0.04
25,fastSD,20211123123711_222,306035,16376674306048852,80,1.5,0.04
25,fastSD,20211123123712_805,269097,16376674322719930,80,1.5,0.04
25,fastSD,20211123123722_621,354707,16376674419343550,80,1.5,0.04
25,fastSD,20211123123726_136,347393,16376674454627710,80,1.5,0.04
25,fastSD,20211123123736_356,322440,16376674557424610,80,1.5,0.04
25,fastSD,20211123123748_279,406555,16376674674903318,80,1.5,0.04
25,fastSD,20211123123750_479,301903,16376674698977160,80,1.5,0.04
25,fastSD,20211123123750_636,82614,16376674704840550,80,1.5,0.04
25,fastSD,20211123123753_876,270946,16376674732994670,80,1.5,0.04
25,fastSD,20211123123754_631,342428,16376674738773690,80,1.5,0.04
25,fastSD,20211123123802_439,270565,16376674819186850,80,1.5,0.04
25,fastSD,20211123123807_419,303987,16376674868031790,80,1.5,0.04
25,fastSD,20211123123821_506,287998,16376675009277200,80,1.5,0.04
25,fastSD,20211123123822_071,287052,16376675015236900,80,1.5,0.04
25,fastSD,20211123123822_738,117478,16376675025213900,80,1.5,0.04
25,fastSD,20211123123823_175,217077,16376675027542232,80,1.5,0.04
25,fastSD,20211123124537_959,306752,16376679373188080,80,1.5,0.04
25,fastSD,20211123124547_152,337602,16376679463935640,80,1.5,0.04
25,fastSD,20211123124547_807,293635,16376679471534040,80,1.5,0.04
25,fastSD,20211123124549_906,286660,16376679493145010,80,1.5,0.04
