R,algorithm,date,iteration,seed,size
6400,RLSSDstar,20211123105925_503,1149913,16376615629583640,80
6400,RLSSDstar,20211123110047_737,779218,16376616462284520,80
6400,RLSSDstar,20211123110049_576,830765,16376616479634740,80
6400,RLSSDstar,20211123110125_907,778923,16376616843706650,80
6400,RLSSDstar,20211123110210_128,778826,16376617285134348,80
6400,RLSSDstar,20211123110212_268,778413,16376617306736970,80
6400,RLSSDstar,20211123110213_886,783577,16376617322859790,80
6400,RLSSDstar,20211123110217_591,1084039,16376617351483020,80
6400,RLSSDstar,20211123110228_087,911490,16376617462627440,80
6400,RLSSDstar,20211123110231_021,788878,16376617495005270,80
6400,RLSSDstar,20211123110239_497,799115,16376617578081210,80
6400,RLSSDstar,20211123110255_769,782410,16376617742237100,80
6400,RLSSDstar,20211123110258_068,779377,16376617765773180,80
6400,RLSSDstar,20211123110316_672,815040,16376617949938130,80
6400,RLSSDstar,20211123110318_894,797838,16376617973509260,80
6400,RLSSDstar,20211123110754_034,783700,16376620722171360,80
6400,RLSSDstar,20211123110757_474,820594,16376620758410650,80
6400,RLSSDstar,20211123110910_372,793943,16376621488066730,80
6400,RLSSDstar,20211123110951_713,1005117,16376621896717370,80
6400,RLSSDstar,20211123110953_619,792953,16376621920297120,80
6400,RLSSDstar,20211123110955_935,966620,16376621939942620,80
6400,RLSSDstar,20211123111004_258,781394,16376622026925940,80
6400,RLSSDstar,20211123111005_832,780760,16376622043022330,80
6400,RLSSDstar,20211123111010_047,843925,16376622084297180,80
6400,RLSSDstar,20211123111011_697,778483,16376622101335780,80
6400,RLSSDstar,20211123111014_591,1088903,16376622121249730,80
6400,RLSSDstar,20211123111018_007,1567498,16376622145923870,80
6400,RLSSDstar,20211123111019_757,923015,16376622180093240,80
6400,RLSSDstar,20211123111021_751,778029,16376622202901320,80
6400,RLSSDstar,20211123111023_861,892933,16376622221171470,80
6400,RLSSDstar,20211123111025_533,782490,16376622240462830,80
6400,RLSSDstar,20211123111027_152,782255,16376622256854128,80
6400,RLSSDstar,20211123111029_083,780926,16376622276327620,80
6400,RLSSDstar,20211123111030_655,797405,16376622290847990,80
