algorithm,date,iteration,seed,size
ea1p1,20211119180820_612,33661,16373417005297030,100
ea1p1,20211119180820_622,3307,16373417006138160,100
ea1p1,20211119180820_775,53331,16373417007156438,100
ea1p1,20211119180821_63,687032,16373417007763470,100
ea1p1,20211119180821_693,53860,16373417016310830,100
ea1p1,20211119180821_707,5415,16373417016945788,100
ea1p1,20211119180821_751,17744,16373417017085040,100
ea1p1,20211119180822_9,885971,16373417017518780,100
ea1p1,20211119180822_915,10832,16373417029017940,100
ea1p1,20211119180822_931,5733,16373417029164578,100
ea1p1,20211119180823_209,212442,16373417029319980,100
ea1p1,20211119180823_227,6863,16373417032104080,100
ea1p1,20211119180823_647,177824,16373417034237540,100
ea1p1,20211119180823_682,13475,16373417036479600,100
ea1p1,20211119180823_699,12342,16373417036835970,100
ea1p1,20211119180823_783,25548,16373417037178600,100
ea1p1,20211119180823_948,125275,16373417037845700,100
ea1p1,20211119180823_986,14544,16373417039490760,100
ea1p1,20211119180824_29,111858,16373417039876930,100
ea1p1,20211119180824_332,16899,16373417042910420,100
ea1p1,20211119180825_009,97463,16373417047548730,100
ea1p1,20211119180825_092,70132,16373417050098660,100
ea1p1,20211119180825_207,39367,16373417050934538,100
ea1p1,20211119180825_228,16286,16373417052079890,100
ea1p1,20211119180825_329,23790,16373417053014070,100
ea1p1,20211119180825_693,91641,16373417054494660,100
ea1p1,20211119180825_742,39799,16373417056948380,100
ea1p1,20211119180825_749,2495,16373417057428480,100
ea1p1,20211119180825_899,54178,16373417057502620,100
ea1p1,20211119180825_976,1224,16373417059732750,100
ea1p1,20211119180826_079,3467,16373417060751130,100
ea1p1,20211119180826_135,44706,16373417060811340,100
ea1p1,20211119180826_177,16516,16373417061365090,100
ea1p1,20211119180826_43,11649,16373417063811290,100
ea1p1,20211119180828_561,801271,16373417065018720,100
ea1p1,20211119180828_634,46105,16373417085629420,100
ea1p1,20211119180828_709,64542,16373417086357450,100
ea1p1,20211119180828_934,183331,16373417087099100,100
ea1p1,20211119180829_034,4720,16373417090215722,100
ea1p1,20211119180830_755,665150,16373417090347012,100
ea1p1,20211119180830_789,12462,16373417107559990,100
ea1p1,20211119180830_798,7524,16373417107898950,100
ea1p1,20211119180830_884,11904,16373417108698030,100
ea1p1,20211119180830_895,3675,16373417108855760,100
ea1p1,20211119180831_61,578359,16373417109130140,100
ea1p1,20211119180831_848,92392,16373417116111620,100
ea1p1,20211119180831_854,4312,16373417118497780,100
ea1p1,20211119180831_878,18095,16373417118553660,100
ea1p1,20211119180832_318,344263,16373417118794550,100
ea1p1,20211119180832_332,4654,16373417123196320,100
ea1p1,20211119180832_337,1684,16373417123332960,100
ea1p1,20211119180832_342,2477,16373417123382640,100
ea1p1,20211119180832_589,200378,16373417123433090,100
ea1p1,20211119180832_802,171994,16373417125902500,100
ea1p1,20211119180832_917,14355,16373417129001492,100
ea1p1,20211119180833_128,48561,16373417129875122,100
